,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.1,98.01,97.91,97.88,97.87,97.75,97.94,97.87,,97.91
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98,97.97,97.85,97.86,97.86,97.75,97.89,97.86,,97.88
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,97.9,98.46,98.14,98.44,98.43,98.05,98.38,98.43,,98.31
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,97.8,98.4,97.91,98.3,98.35,98.1,98.28,97.35,,98.12
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,97.7,98.44,97.87,98.4,98.42,98.35,98.32,98.42,,98.30
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.3,98.35,98.25,98.3,98.3,98.1,98.25,98.3,,98.28
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,98.35,98.14,98.22,98.21,98.1,98.13,98.21,,98.17
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.45,98.23,98.35,98.36,98.15,98.37,98.36,,98.30
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,98.44,98.2,98.35,98.38,98.15,98.35,98.38,,98.35
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.02,98.35,98.19,98.4,98.42,98.15,98.34,98.42,,98.31
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.85,99.86,99.85,99.86,99.85,99.86,99.86,,99.86
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.21,98.4,98.25,98.37,98.38,98.55,98.4,98.38,,98.36
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,97,98.35,98.41,98.4,98.39,98.35,98.39,98.39,,98.38
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.82,94.6,95.02,94.6,94.6,95,94.7,94.6,,94.72
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,97.56,97.9,97.9,97.8,97.9,97.84,97.87,97.9,,97.87
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.6,99.57,99.58,99.56,99.58,99.58,99.57,99.58,,99.58
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.05,99.18,99.04,99,99.14,99.13,99.05,99.14,,99.09
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.4,98.69,98.62,98.6,98.6,98.63,98.6,98.6,,98.61
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.5,99.9,99.51,99.4,99.4,99.45,99.5,99.4,,99.46
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.77,95.08,95.09,95,94.99,95.04,95.05,94.99,,95.04
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.32,96.33,96.75,96.8,96.76,96.58,96.74,96.76,,96.73
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.19,99.85,99.09,98.97,98.98,99.09,99.04,98.98,,99.06
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.39,98.37,98.23,98.3,98.33,98.27,98.33,98.33,,98.32
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,98.9,99.83,98.93,98.8,98.82,98.89,98.84,98.82,,98.87
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,96.4,96.47,96.55,96.4,96.52,96.55,96.5,96.52,,96.49
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,95.55,95.56,95.96,96.05,96.08,95.82,95.95,96.08,,95.90
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.6,99.75,98.47,98.47,98.42,98.46,98.43,98.42,,98.48
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.96,97.78,98.02,98.04,97.97,98.03,98.04,,98.01
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,95.52,95.59,95.6,95.57,95.68,95.63,95.63,95.68,,95.62
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.13,97.94,97.85,97.76,97.78,97.77,97.85,97.78,,97.83
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,96.25,96.22,96.33,96.26,96.25,96.14,96.25,96.25,,96.25
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,95.98,96.25,96.12,96.2,96.2,96.22,96.2,96.2,,96.19
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,95.05,94.74,94.79,95,95,95.1,95,95,,94.97
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,96.1,95.97,95.94,95.96,95.96,95.88,95.94,95.96,,95.96
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,94.31,94.1,94.11,94.15,994.14,93.95,94.11,94.14,,94.15
PIB-FRB-36,18-Apr-24,18-Apr-29,Semiannually,96,96.07,96.07,96.02,96.02,96.08,96.04,96.08,,96.05
PIB-FRB-37,18-Apr-24,18-Apr-34,Semiannually,93.85,94.18,93.95,93.92,93.99,93.99,93.99,94,,93.97
