,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.16,98.1,98.13,98,98.02,98.05,0,98.05,,98.07
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.16,98.05,98.11,98,97.94,98,0,98.05,,98.04
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.55,98.63,98.65,98.25,98.39,99.38,0,98.25,,98.49
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,98.59,98.2,98.27,99.49,0,98.2,,98.29
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.56,98.42,98.5,98.25,98.24,98.14,0,98.25,,98.33
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.62,98.39,98.47,98.25,98.35,98.16,0,98.35,,98.36
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.22,98.21,98.44,98.2,98.27,98.24,0,98.34,,98.26
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.29,98.3,98.57,98.2,98.34,98.15,0,98.2,,98.27
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.41,98.32,98.6,98.2,98.35,98.15,0,98.25,,98.31
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.49,98.55,98.64,98.2,98.31,99.62,0,98.25,,98.45
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.13,100.11,100.18,100.15,100.23,100.2,0,100.11,,100.15
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.75,100.04,99.88,100.11,99.72,99.85,0,100.04,,99.91
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.99,98.71,98.39,99.13,99.14,99.13,0,98.71,,98.93
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,95.46,95.71,94.95,95,95.78,94.94,0,95.59,,95.34
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.43,99.37,99.41,99.31,99.43,99.24,0,99.48,,99.39
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.81,99.81,99.84,99.84,99.82,99.78,0,99.72,,99.81
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.49,99.65,99.18,99.61,99.49,99.52,0,99.45,,99.51
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,95.87,95.8,96.77,95.67,96.14,95.66,0,95.65,,95.83
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.87,98.4,98.28,97.55,98.3,98.4,0,97.85,,98.14
PIB-FRB-20,9-Feb-23,9-Feb-25,Quarterly,99.6,99.53,99.52,99.58,99.48,99.47,0,99.45,,99.52
PIB-FRB-21,9-Feb-23,9-Feb-26,Quarterly,98.79,98.84,98.73,98.98,98.95,99.22,0,98.91,,98.89
PIB-FRB-22,6-Apr-23,6-Apr-25,Quarterly,99.45,99.32,99.35,99.4,99.21,99.26,0,99.29,,99.32
PIB-FRB-23,6-Apr-23,6-Apr-28,Half-Yearly,96.98,96.97,96.9,96.9,96.95,96.97,0,97.03,,96.95
PIB-FRB-24,10-Aug-23,10-Aug-28,Half-Yearly,96.79,97.81,97.43,97.69,97.81,97.68,0,96.78,,97.48
PIB-FRB-25,21-Sep-23,21-Sep-25,Quarterly,98.75,98.72,98.8,98.79,98.59,98.62,0,98.75,,98.73
PIB-FRB-26,21-Sep-23,21-Sep-26,Quarterly,98.2,99.17,98.3,99.18,98.46,98.85,0,98.93,,98.74
PIB-FRB-27,21-Sep-23,21-Sep-28,Half-Yearly,98.03,97.89,98.03,98.03,98.03,98.16,0,98.17,,98.06
PIB-FRB-28,19-Oct-23,19-Oct-26,Quarterly,98.28,98.38,98.45,98.74,98.54,98.69,0,98.38,,98.49
PIB-FRB-29,19-Oct-23,19-Oct-28,Half-Yearly,97.05,96.67,96.84,96.8,97.02,97.04,0,96.81,,96.9
PIB-FRB-30,14-Dec-23,14-Dec-28,Half-Yearly,97.46,97.73,97.32,97.6,97.86,97.59,0,97.45,,97.57
PIB-FRB-31,14-Dec-23,14-Dec-33,Half-Yearly,94.73,95.11,95.09,95.48,95.19,94.91,0,94.74,,95.01
PIB-FRB-32,7-Feb-24,7-Feb-29,Half-Yearly,97.9,98.06,97.93,97.93,97.9,97.92,0,97.87,,97.92
PIB-FRB-33,7-Feb-24,7-Feb-34,Half-Yearly,95.73,95.76,95.17,95.57,95.77,95.96,0,95.64,,95.69
PIB-FRB-34,18-Apr-24,18-Apr-29,Half-Yearly,96.62,96.7,96.59,96.75,96.54,96.83,0,96.54,,96.64
PIB-FRB-35,18-Apr-24,18-Apr-34,Half-Yearly,94.88,95.17,95.15,94.95,94.62,95.38,0,95.14,,95.06
PIB-FRB-36,27-Jun-24,27-Jun-29,Half-Yearly,97.55,97.83,97.54,97.55,97.84,97.69,0,97.97,,97.69
PIB-FRB-37,5-Sep-24,5-Sep-29,Half-Yearly,97.74,97.73,97.74,97.89,97.89,98.2,0,97.79,,97.81
PIB-FRB-38,5-Sep-24,5-Sep-34,Half-Yearly,94.44,94.43,94.66,94.66,94.31,94.65,0,94.6,,94.56
PIB-FRB-39,3-Oct-24,3-Oct-26,Half-Yearly,99.67,99.82,99.67,99.75,99.57,99.74,0,99.85,,99.73
PIB-FRB-40,3-Oct-24,3-Oct-29,Half-Yearly,97.12,97.31,97.32,97.31,97.31,97.14,0,97.31,,97.28
PIB-FRB-41,3-Oct-24,3-Oct-34,Half-Yearly,93.74,93.73,93.75,93.97,93.97,93.83,0,93.97,,93.85
PIB-FRB-42,7-Feb-24,7-Feb-27,Half-Yearly,98.82,98.62,98.86,98.6,98.35,98.89,0,98.8,,98.74
