,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0.00,95.80,95.25,95.25,93.33,94.13,95.00,95.57,,95.04
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0.00,95.81,95.60,95.32,95.00,94.22,95.00,95.00,,95.18
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0.00,96.00,96.00,95.97,95.74,94.72,95.00,95.90,,95.72
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0.00,96.00,95.80,95.87,95.54,94.72,95.75,96.21,,95.79
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0.00,96.00,95.50,95.63,95.27,94.40,95.75,95.99,,95.63
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0.00,96.00,95.75,95.55,95.19,94.30,94.90,95.95,,95.47
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0.00,95.90,95.75,95.48,95.12,94.23,94.90,95.93,,95.43
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0.00,95.90,95.75,95.75,95.40,94.53,94.90,95.90,,95.54
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0.00,95.90,95.75,95.75,95.40,94.64,95.60,96.11,,95.68
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0.00,96.00,96.00,95.87,95.53,95.53,95.90,96.23,,95.86
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,0.00,98.90,98.70,98.65,98.72,98.79,98.90,98.69,,98.76
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,0.00,98.05,98.00,98.09,97.19,98.00,96.20,97.95,,97.84
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,0.00,95.50,95.75,95.24,94.86,93.94,95.50,95.61,,95.34
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,0.00,98.75,98.64,98.87,98.01,98.79,98.80,99.11,,98.77
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,0.00,96.90,96.89,96.71,95.90,96.80,96.50,97.10,,96.76
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,0.00,94.00,92.94,93.14,92.00,92.00,93.00,93.90,,93.00
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,0.00,99.25,98.50,98.86,98.48,98.80,98.75,99.00,,98.78
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,0.00,96.25,96.01,95.92,95.22,95.90,96.10,95.85,,95.96
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,0.00,99.73,99.70,99.70,99.71,99.70,99.70,99.70,,99.70
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,0.00,97.99,98.27,98.00,97.54,98.07,97.99,97.99,,98.01
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,0.00,99.54,99.49,99.46,99.48,99.49,99.50,99.49,,99.49
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,0.00,97.50,97.57,97.51,96.91,97.73,97.50,97.50,,97.52
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,0.00,97.20,97.21,97.23,96.45,97.39,97.20,97.20,,97.21
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,0.00,99.00,99.00,98.94,98.84,98.81,98.90,99.00,,98.94
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,0.00,93.80,91.22,92.24,91.23,92.04,92.25,93.80,,92.31
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,0.00,95.48,94.60,94.92,93.71,94.59,94.90,95.45,,94.89
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,0.00,98.60,98.50,98.43,98.43,98.42,98.50,98.50,,98.47
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,0.00,96.85,96.56,96.64,96.03,96.57,96.60,96.71,,96.62
