,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.96,0,99.96,99.73,100.53,99.73,99.92,100.02,,99.92
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.27,0,99.91,99.73,99.96,99.73,99.91,100.15,,99.85
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.9,0,100.39,99.97,100.33,100.11,100.37,100.25,,100.21
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,102.2,0,100.45,99.98,100.39,100.28,100.44,100.69,,100.45
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.66,0,100.53,100.27,100.55,99.68,100.47,100.3,,100.25
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.6,0,100.52,100.25,100.54,99.66,100.46,100.3,,100.24
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.52,0,100.49,99.96,100.55,99.66,100.46,100.25,,100.16
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.4,0,100.62,100.11,100.71,99.81,100.53,100.4,,100.29
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.52,0,100.64,100.43,100.42,99.98,100.57,100.6,,100.4
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,102.46,0,100.66,100.45,100.76,100.77,100.59,100.77,,100.71
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.56,100.68,100.67,100.68,100.49,100.85,,100.62
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.95,0,99.98,99.98,99.97,99.97,99.97,99.98,,99.97
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.34,0,97.7,97.29,97.71,97.7,97.71,97.47,,97.58
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.1,0,99.98,100,99.97,100,99.97,99.96,,99.98
PIB-FRB-15,4-Nov-21,4-Nov-31,Half-Yearly,97.06,0,97.55,97.46,97.67,97.47,97.5,97.46,,97.49
PIB-FRB-16,17-Nov-22,17-Nov-27,Half-Yearly,99.51,0,99.45,99.21,99.51,99.45,99.47,99.5,,99.48
PIB-FRB-17,9-Feb-23,9-Feb-26,Quarterly,99.97,0,99.95,99.95,99.94,99.94,99.95,99.93,,99.95
PIB-FRB-18,6-Apr-23,6-Apr-28,Half-Yearly,99.07,0,98.92,98.97,98.93,98.94,98.9,98.93,,98.94
PIB-FRB-19,10-Aug-23,10-Aug-28,Half-Yearly,99.01,0,98.75,98.77,98.65,98.73,98.75,98.65,,98.73
PIB-FRB-21,21-Sep-23,21-Sep-26,Quarterly,99.45,0,99.82,99.84,99.72,99.81,99.81,99.85,,99.8
PIB-FRB-22,21-Sep-23,21-Sep-28,Half-Yearly,98.76,0,98.65,98.61,98.63,98.64,98.58,98.65,,98.64
PIB-FRB-23,19-Oct-23,19-Oct-26,Quarterly,99.36,0,99.7,99.67,99.74,99.7,99.77,99.82,,99.72
PIB-FRB-24,19-Oct-23,19-Oct-28,Half-Yearly,98.67,0,98.78,98.69,98.64,98.67,98.69,98.63,,98.67
PIB-FRB-25,14-Dec-23,14-Dec-28,Half-Yearly,98.65,0,98.75,98.74,98.65,98.65,98.62,98.59,,98.66
PIB-FRB-26,14-Dec-23,14-Dec-33,Half-Yearly,95.72,0,95.92,95.92,95.92,95.87,95.81,95.86,,95.88
PIB-FRB-27,7-Feb-24,7-Feb-29,Half-Yearly,98.6,0,98.6,98.41,98.33,98.47,98.47,98.32,,98.46
PIB-FRB-28,7-Feb-24,7-Feb-34,Half-Yearly,95.64,0,95.86,95.49,95.49,95.64,95.64,95.69,,95.62
PIB-FRB-29,18-Apr-24,18-Apr-29,Half-Yearly,98.64,0,98.54,98.46,98.45,98.45,98.45,98.4,,98.47
PIB-FRB-30,18-Apr-24,18-Apr-34,Half-Yearly,95.89,0,95.78,95.78,95.88,95.84,95.84,95.83,,95.83
PIB-FRB-31,27-Jun-24,27-Jun-29,Half-Yearly,98.53,0,98.53,98.3,99.33,98.41,98.33,98.3,,98.42
PIB-FRB-32,5-Sep-24,5-Sep-29,Half-Yearly,98.46,0,98.42,98.31,98.37,98.4,98.28,98.49,,98.39
PIB-FRB-33,5-Sep-24,5-Sep-34,Half-Yearly,95.61,0,95.72,95.68,95.61,95.61,95.4,95.6,,95.62
PIB-FRB-34,3-Oct-24,3-Oct-26,Half-Yearly,99.81,0,99.8,99.87,99.8,99.8,99.9,99.78,,99.82
PIB-FRB-35,3-Oct-24,3-Oct-29,Half-Yearly,98.45,0,98.5,98.57,98.26,98.29,98.29,98.28,,98.36
PIB-FRB-36,3-Oct-24,3-Oct-34,Half-Yearly,95.74,0,95.73,95.47,95.63,95.63,95.74,95.73,,95.69
PIB-FRB-37,7-Feb-24,7-Feb-27,Quarterly,99.42,0,99.52,99.62,99.43,99.49,99.55,99.8,,99.52
PIB-FRB-38,14-Nov-24,14-Nov-29,Half-Yearly,98.55,0,98.57,98.53,98.61,98.55,98.23,98.37,,98.51
PIB-FRB-39,14-Nov-24,14-Nov-34,Half-Yearly,93.24,0,95.77,95.62,95.96,95.72,95.73,95.72,,95.71
PIB-FRB-40,12-Dec-24,12-Dec-29,Half-Yearly,98.47,0,98.45,98.64,98.49,98.5,98.18,98.59,,98.5
PIB-FRB-41,12-Dec-24,12-Dec-34,Half-Yearly,95.84,0,95.66,95.81,95.8,95.67,95.4,95.55,,95.7
PIB-FRB-42,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.78,99.98,99.8,99.84,99.79,100,,99.84
PIB-FRB-43,9-Jan-25,9-Jan-30,Half-Yearly,98.41,0,98.4,98.62,98.3,98.34,98.14,98.36,,98.36
PIB-FRB-44,9-Jan-25,9-Jan-35,Half-Yearly,95.51,0,95.56,95.76,95.5,95.5,95.4,95.5,,95.51
PIB-FRB-45,17-Apr-25,17-Apr-30,Half-Yearly,98.46,0,98.28,98.5,98.11,98.29,98.12,98.59,,98.33
PIB-FRB-46,17-Apr-25,17-Apr-35,Half-Yearly,95.63,0,95.67,95.67,95.63,95.63,95.48,95.62,,95.64
PIB-FRB-47,29-May-25,29-May-35,Half-Yearly,95.47,0,95.46,95.77,95.63,95.58,95.41,95.57,,95.54
PIB-FRB-48,10-Jul-25,10-Jul-35,Half-Yearly,95.65,0,95.43,95.54,95.53,95.48,95.37,95.59,,95.51
