Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.29,0.04
PIBFR10YQ2033-12-14,93.01,-0.06
PIBFR10YS2028-05-31,98.53,0.02
PIBFR10YS2028-06-28,98.51,0.02
PIBFR10YS2028-08-09,98.74,-0.03
PIBFR10YS2029-02-21,98.64,-0.02
PIBFR10YS2029-03-21,98.40,0.00
PIBFR10YS2029-04-18,98.38,0.00
PIBFR10YS2029-05-30,98.19,0.00
PIBFR10YS2029-06-27,98.43,0.01
PIBFR10YS2029-07-25,98.35,-0.01
PIBFR10YS2029-08-22,98.57,0.00
PIBFR10YS2030-06-18,99.99,0.00
PIBFR10YS2031-11-04,95.57,-0.01
PIBFR10YS2034-02-07,94.78,-0.29
PIBFR10YS2034-04-18,94.13,-0.02
PIBFR10YS2034-09-05,94.45,0.01
PIBFR10YS2034-10-03,93.76,-0.04
PIBFR10YS2034-11-14,93.00,0.00
PIBFR10YS2034-12-12,92.76,-0.02
PIBFR10YS2035-01-09,92.76,-0.06
PIBFR2YQ2025-02-09,99.96,0.00
PIBFR2YQ2025-04-06,99.87,0.01
PIBFR2YQ2025-09-21,99.44,0.01
PIBFR2YS2026-10-03,99.73,0.00
PIBFR2YS2027-01-09,99.92,0.02
PIBFR3YQ2025-04-07,99.99,0.00
PIBFR3YQ2025-09-08,99.96,0.01
PIBFR3YQ2026-02-09,99.51,-0.01
PIBFR3YQ2026-09-21,98.98,-0.02
PIBFR3YQ2026-10-19,99.18,0.01
PIBFR3YQ2027-02-07,98.77,0.00
PIBFR5YQ2025-10-22,99.41,0.01
PIBFR5YS2025-06-18,100.32,0.00
PIBFR5YS2026-05-06,99.83,0.00
PIBFR5YS2027-11-17,98.61,0.02
PIBFR5YS2028-04-06,97.83,0.02
PIBFR5YS2028-08-10,97.51,-0.06
PIBFR5YS2028-09-21,97.71,-0.02
PIBFR5YS2028-10-19,97.48,0.00
PIBFR5YS2028-12-14,97.36,0.01
PIBFR5YS2029-02-07,97.38,-0.03
PIBFR5YS2029-04-18,97.28,0.01
PIBFR5YS2029-06-27,97.11,-0.01
PIBFR5YS2029-09-05,97.48,0.00
PIBFR5YS2029-10-03,97.17,-0.04
PIBFR5YS2029-11-14,97.48,0.00
PIBFR5YS2029-12-12,97.06,-0.01
PIBFR5YS2030-01-09,96.85,0.00
