Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,97.45,0.03,,
PIBFR10YQ2033-12-14,95.55,0.04,,
PIBFR10YS2028-05-31,99.53,0.05,,
PIBFR10YS2028-06-28,99.59,0.07,,
PIBFR10YS2028-08-09,99.65,0.07,,
PIBFR10YS2029-02-21,99.52,0.11,,
PIBFR10YS2029-03-21,99.37,0.14,,
PIBFR10YS2029-04-18,99.35,0.16,,
PIBFR10YS2029-05-30,99.27,0.20,,
PIBFR10YS2029-06-27,99.25,0.20,,
PIBFR10YS2029-07-25,99.29,0.18,,
PIBFR10YS2029-08-22,99.61,0.00,,
PIBFR10YS2030-06-18,100.68,-0.01,,
PIBFR10YS2031-11-04,97.23,-0.03,,
PIBFR10YS2034-02-07,95.63,0.02,,
PIBFR10YS2034-04-18,95.70,0.04,,
PIBFR10YS2034-09-05,95.45,0.03,,
PIBFR10YS2034-10-03,95.47,0.05,,
PIBFR10YS2034-11-14,95.61,0.06,,
PIBFR10YS2034-12-12,95.15,0.03,,
PIBFR10YS2035-01-09,95.49,0.03,,
PIBFR10YS2035-04-17,95.52,0.04,,
PIBFR10YS2035-05-29,95.39,0.00,,
PIBFR2YQ2025-09-21,99.95,-0.01,,
PIBFR2YS2026-10-03,99.78,0.00,,
PIBFR2YS2027-01-09,99.79,-0.03,,
PIBFR3YQ2025-09-08,99.97,0.00,,
PIBFR3YQ2026-02-09,99.84,0.00,,
PIBFR3YQ2026-09-21,99.65,-0.01,,
PIBFR3YQ2026-10-19,99.63,0.00,,
PIBFR3YQ2027-02-07,99.41,0.04,,
PIBFR5YQ2025-10-22,99.98,0.03,,
PIBFR5YS2026-05-06,100.17,0.00,,
PIBFR5YS2027-11-17,99.22,-0.01,,
PIBFR5YS2028-04-06,98.92,-0.01,,
PIBFR5YS2028-08-10,98.63,-0.01,,
PIBFR5YS2028-09-21,98.64,0.00,,
PIBFR5YS2028-10-19,98.67,0.01,,
PIBFR5YS2028-12-14,98.44,0.00,,
PIBFR5YS2029-02-07,98.39,0.00,,
PIBFR5YS2029-04-18,98.46,-0.02,,
PIBFR5YS2029-06-27,98.38,-0.01,,
PIBFR5YS2029-09-05,98.33,0.00,,
PIBFR5YS2029-10-03,98.17,0.00,,
PIBFR5YS2029-11-14,98.32,0.00,,
PIBFR5YS2029-12-12,98.07,-0.03,,
PIBFR5YS2030-01-09,98.13,0.04,,
PIBFR5YS2030-04-17,98.14,-0.01,,
