,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0.00,100.00,100.00,0.00,96.68,98.12,100.00,100.00,,99.13
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0.00,100.00,100.00,0.00,96.66,98.10,100.00,100.00,,99.13
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0.00,100.00,100.00,0.00,97.23,98.84,100.00,100.00,,99.35
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0.00,100.00,100.00,0.00,97.10,99.21,100.00,100.00,,99.39
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0.00,100.00,100.00,0.00,97.12,98.82,100.00,100.00,,99.32
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0.00,100.00,100.00,0.00,96.89,98.82,100.00,100.00,,99.29
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0.00,100.00,100.00,0.00,96.95,98.73,100.00,100.00,,99.28
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0.00,100.00,100.00,0.00,97.13,98.92,100.00,100.00,,99.34
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0.00,100.00,100.00,0.00,97.17,98.94,100.00,100.00,,99.35
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0.00,100.00,100.00,0.00,97.18,98.94,100.00,100.00,,99.35
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,0.00,100.10,100.10,0.00,100.07,100.20,100.20,100.20,,100.15
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,0.00,99.95,99.95,0.00,99.37,99.95,99.95,99.93,,99.85
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,0.00,98.83,98.85,0.00,96.50,98.85,98.90,98.80,,98.46
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,0.00,99.25,99.20,0.00,99.19,99.20,99.25,99.20,,99.22
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,0.00,98.30,98.25,0.00,97.43,98.25,98.30,98.30,,98.14
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,0.00,96.60,96.60,0.00,94.03,99.60,96.60,96.60,,96.67
PIB-FRB-17,5-Nov-20,5-Nov-22,Quarterly,0.00,99.85,99.85,0.00,99.85,99.85,99.85,99.85,,99.85
PIB-FRB-18,31-Dec-20,31-Dec-23,Half-Yearly,0.00,99.00,99.00,0.00,98.73,99.00,99.00,98.99,,98.95
PIB-FRB-19,6-May-21,6-May-26,Half-Yearly,0.00,96.40,96.23,0.00,96.43,96.30,96.75,96.37,,96.41
PIB-FRB-20,26-Aug-21,26-Aug-23,Quarterly,0.00,99.39,99.33,0.00,99.39,99.35,99.38,99.35,,99.37
PIB-FRB-21,7-Oct-21,7-Oct-24,Quarterly,0.00,98.26,98.20,0.00,98.34,98.20,98.25,98.25,,98.25
PIB-FRB-22,30-Dec-21,30-Dec-23,Quarterly,0.00,99.29,99.29,0.00,99.27,99.28,99.24,99.25,,99.27
PIB-FRB-23,7-Apr-22,7-Apr-25,Quarterly,0.00,97.90,97.70,0.00,97.94,97.70,97.70,97.69,,97.77
PIB-FRB-24,8-Sep-22,8-Sep-25,Quarterly,0.00,97.68,97.62,0.00,97.62,97.80,97.50,97.50,,97.62
PIB-FRB-25,8-Sep-22,8-Sep-24,Quarterly,0.00,98.93,98.94,0.00,98.94,98.92,98.90,98.91,,98.92
PIB-FRB-26,4-Nov-21,4-Nov-31,Half-Yearly,0.00,93.02,93.20,0.00,93.19,93.21,93.00,93.17,,93.13
