Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.36,0.00
PIBFR10YQ2033-12-14,92.75,-0.03
PIBFR10YS2028-05-31,98.53,0.00
PIBFR10YS2028-06-28,98.52,0.00
PIBFR10YS2028-08-09,98.73,0.00
PIBFR10YS2029-02-21,98.63,0.01
PIBFR10YS2029-03-21,98.38,0.00
PIBFR10YS2029-04-18,98.38,0.00
PIBFR10YS2029-05-30,98.19,0.00
PIBFR10YS2029-06-27,98.43,0.00
PIBFR10YS2029-07-25,98.34,-0.01
PIBFR10YS2029-08-22,98.56,0.00
PIBFR10YS2030-06-18,99.99,0.00
PIBFR10YS2031-11-04,95.51,0.31
PIBFR10YS2034-02-07,95.52,-0.02
PIBFR10YS2034-04-18,93.53,0.00
PIBFR10YS2034-09-05,94.38,0.00
PIBFR10YS2034-10-03,93.50,-0.04
PIBFR10YS2034-11-14,92.96,0.00
PIBFR10YS2034-12-12,92.55,0.00
PIBFR2YQ2025-02-09,99.90,0.00
PIBFR2YQ2025-04-06,99.80,0.01
PIBFR2YQ2025-09-21,99.39,-0.01
PIBFR2YS2026-10-03,99.74,0.00
PIBFR3YQ2025-04-07,100.05,-0.01
PIBFR3YQ2025-09-08,99.90,0.02
PIBFR3YQ2026-02-09,99.56,0.03
PIBFR3YQ2026-09-21,98.93,-0.01
PIBFR3YQ2026-10-19,98.77,-0.01
PIBFR3YQ2027-02-07,98.74,0.00
PIBFR5YQ2025-10-22,99.29,0.00
PIBFR5YS2025-06-18,100.37,-0.01
PIBFR5YS2026-05-06,99.68,0.00
PIBFR5YS2027-11-17,98.22,0.04
PIBFR5YS2028-04-06,97.91,0.00
PIBFR5YS2028-08-10,97.85,-0.01
PIBFR5YS2028-09-21,97.96,-0.09
PIBFR5YS2028-10-19,97.52,0.00
PIBFR5YS2028-12-14,97.09,0.00
PIBFR5YS2029-02-07,97.96,0.00
PIBFR5YS2029-04-18,97.30,0.00
PIBFR5YS2029-06-27,96.66,0.20
PIBFR5YS2029-09-05,97.54,0.07
PIBFR5YS2029-10-03,97.49,0.00
PIBFR5YS2029-11-14,97.16,0.08
PIBFR5YS2029-12-12,96.65,0.00
