,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.17,98.64,98.65,98.55,97.89,98.05,98.65,98.65,,98.53
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.16,98.6,98.65,98.55,97.84,98,98.6,98.65,,98.51
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.62,99.26,98.38,98.65,98.35,99.38,98.62,98.67,,98.7
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.67,99.05,98.5,98.55,98.37,99.49,98.55,98.55,,98.65
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.64,99.03,98.17,98.4,98.25,98.14,98.4,98.58,,98.41
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.43,98.7,98.4,98.4,98.29,98.16,98.4,98.41,,98.39
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.06,98.21,98.21,98.2,98.12,98.24,98.21,98.21,,98.19
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.24,99.22,98.5,98.5,98.34,98.15,98.5,98.51,,98.43
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.39,98.32,98.32,98.35,98.16,98.15,98.32,98.35,,98.3
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.68,98.55,98.55,98.55,98.38,99.62,98.55,98.57,,98.58
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.23,100.3,100.35,100.4,100.28,100.3,100.33,100.33,,100.32
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.96,100.04,99.96,100,99.96,100,99.97,99.99,,99.98
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.44,99.62,99.2,99.66,99.34,99.13,99.48,99.55,,99.44
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.63,95.66,95.66,95.79,94.82,94.94,95.5,95.48,,95.34
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.84,99.83,99.84,99.84,99.84,99.83,99.83,99.84,,99.84
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.98,99.96,99.98,99.95,99.98,100,99.98,99.96,,99.97
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.96,99.98,99.98,99.9,99.94,99.75,99.96,99.96,,99.95
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,95.51,95.49,95.27,95.92,95.51,95.3,95.5,95.51,,95.47
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.73,98.82,98.6,98.83,98.83,98.82,98.81,98.72,,98.77
PIB-FRB-20,9-Feb-23,9-Feb-26,Quarterly,99.03,99.54,99.67,99.63,99.22,99.72,99.6,99.59,,99.54
PIB-FRB-21,6-Apr-23,6-Apr-25,Quarterly,99.85,99.89,99.85,99.87,99.88,99.9,99.86,99.88,,99.87
PIB-FRB-22,6-Apr-23,6-Apr-28,Half-Yearly,97.88,97.82,97.74,97.71,97.83,97.82,97.82,97.85,,97.81
PIB-FRB-23,10-Aug-23,10-Aug-28,Half-Yearly,97.23,97.86,97.53,97.23,97.39,97.36,97.35,97.33,,97.37
PIB-FRB-24,21-Sep-23,21-Sep-25,Quarterly,99.44,99.47,99.45,99.58,99.85,99.52,99.46,99.51,,99.5
PIB-FRB-25,21-Sep-23,21-Sep-26,Quarterly,98.91,99.29,98.86,98.96,98.84,99.46,98.9,99.06,,99
PIB-FRB-26,21-Sep-23,21-Sep-28,Half-Yearly,98.13,97.61,98.03,97.37,97.61,97.56,97.6,97.67,,97.68
PIB-FRB-27,19-Oct-23,19-Oct-26,Quarterly,99.24,99.31,98.75,99.31,99.17,98.92,99.25,99.25,,99.19
PIB-FRB-28,19-Oct-23,19-Oct-28,Half-Yearly,97.44,97.46,97.45,97.33,97.46,97.4,97.44,97.46,,97.44
PIB-FRB-29,14-Dec-23,14-Dec-28,Half-Yearly,97.44,97.29,97.45,97.42,97.3,97.29,97.42,97.38,,97.38
PIB-FRB-30,14-Dec-23,14-Dec-33,Half-Yearly,92.57,93.15,94.75,93.29,93.54,92.81,93.15,92.86,,93.13
PIB-FRB-31,7-Feb-24,7-Feb-29,Half-Yearly,97.86,97.07,97.01,96.92,97.07,96.92,97.07,97.07,,97.04
PIB-FRB-32,7-Feb-24,7-Feb-34,Half-Yearly,94.16,92.89,95.55,93.4,93.15,93.14,93.4,93,,93.38
PIB-FRB-33,18-Apr-24,18-Apr-29,Half-Yearly,97.22,97.07,97.15,97.22,97.13,97.07,97.22,97.22,,97.17
