,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.10,98.01,0.00,98.05,98.05,97.75,98.00,98.05,,98.03
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.00,97.97,0.00,98.05,97.97,97.75,98.02,97.95,,97.98
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,97.90,98.46,0.00,98.50,98.47,98.10,98.49,98.47,,98.40
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,97.80,98.40,0.00,98.40,98.38,98.10,98.36,98.38,,98.32
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,97.70,98.44,0.00,98.35,98.43,98.35,98.46,98.43,,98.40
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.30,98.44,0.00,98.40,98.44,98.10,98.39,98.44,,98.39
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,98.44,0.00,98.35,98.44,98.10,98.36,98.44,,98.34
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.53,0.00,98.95,98.52,98.15,98.55,98.52,,98.45
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,98.50,0.00,98.50,98.49,98.15,98.45,98.49,,98.48
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.02,98.47,0.00,98.40,98.47,98.15,98.43,98.47,,98.38
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.32,99.85,0.00,99.35,99.32,99.35,99.32,99.32,,99.33
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.21,98.60,0.00,98.30,98.54,98.57,98.26,98.54,,98.44
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,97.00,98.43,0.00,98.40,98.43,98.35,98.41,98.43,,98.40
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.82,94.60,0.00,94.75,94.60,95.00,94.68,94.60,,94.69
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.52,98.41,0.00,98.45,98.48,98.40,98.46,98.48,,98.46
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.58,98.99,0.00,99.46,99.41,99.44,99.47,99.41,,99.44
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.05,99.04,0.00,99.00,99.02,98.97,99.02,99.02,,99.02
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.50,99.17,0.00,98.65,98.67,98.79,98.65,98.67,,98.69
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.16,99.19,0.00,99.30,99.29,99.24,99.27,99.29,,99.26
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.77,95.50,0.00,95.40,95.54,95.54,95.53,95.54,,95.53
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.32,97.03,0.00,97.25,97.39,96.91,97.23,97.39,,97.24
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.19,98.82,0.00,99.00,99.00,98.87,98.99,99.00,,98.97
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.39,98.25,0.00,98.45,98.43,98.27,98.35,98.43,,98.37
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.14,98.63,0.00,98.65,98.96,98.47,98.87,98.96,,98.81
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,97.09,96.92,0.00,97.00,96.92,96.85,96.94,96.92,,96.94
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,95.55,96.66,0.00,97.10,96.64,96.64,96.67,96.64,,96.65
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,99.02,98.31,0.00,98.65,98.66,98.66,98.65,98.66,,98.66
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.96,0.00,98.15,98.19,98.15,98.16,98.19,,98.14
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,97.50,97.07,0.00,97.35,97.11,97.12,97.13,97.11,,97.16
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.13,97.68,0.00,98.25,97.78,97.71,97.79,97.78,,97.84
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,97.25,96.92,0.00,97.00,96.83,97.02,96.97,96.83,,96.95
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,96.97,96.95,0.00,98.80,96.90,96.93,96.90,96.90,,96.93
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,95.03,95.01,0.00,94.90,94.99,95.10,95.02,94.99,,95.01
