Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,97.69,-0.01,,
PIBFR10YQ2033-12-14,95.99,-0.01,,
PIBFR10YS2028-05-31,99.96,0.00,,
PIBFR10YS2028-06-28,99.87,0.00,,
PIBFR10YS2028-08-09,100.17,0.00,,
PIBFR10YS2029-02-21,100.52,0.00,,
PIBFR10YS2029-03-21,100.09,0.00,,
PIBFR10YS2029-04-18,100.02,0.00,,
PIBFR10YS2029-05-30,99.94,0.00,,
PIBFR10YS2029-06-27,100.05,0.00,,
PIBFR10YS2029-07-25,100.20,0.00,,
PIBFR10YS2029-08-22,100.75,0.00,,
PIBFR10YS2030-06-18,100.64,-0.02,,
PIBFR10YS2031-11-04,97.49,-0.01,,
PIBFR10YS2034-02-07,95.84,0.00,,
PIBFR10YS2034-04-18,95.91,-0.04,,
PIBFR10YS2034-09-05,95.70,0.00,,
PIBFR10YS2034-10-03,95.74,-0.01,,
PIBFR10YS2034-11-14,95.88,-0.01,,
PIBFR10YS2034-12-12,95.77,-0.01,,
PIBFR10YS2035-01-09,95.61,-0.01,,
PIBFR10YS2035-04-17,95.73,0.00,,
PIBFR10YS2035-05-29,95.60,-0.04,,
PIBFR10YS2035-07-10,95.54,-0.03,,
PIBFR2YQ2025-09-21,99.98,0.00,,
PIBFR2YS2026-10-03,99.81,0.00,,
PIBFR2YS2027-01-09,99.83,0.00,,
PIBFR3YQ2026-02-09,99.94,0.00,,
PIBFR3YQ2026-09-21,99.79,0.00,,
PIBFR3YQ2026-10-19,99.69,-0.02,,
PIBFR3YQ2027-02-07,99.50,0.00,,
PIBFR5YQ2025-10-22,99.93,-0.01,,
PIBFR5YS2026-05-06,100.06,0.00,,
PIBFR5YS2027-11-17,99.51,-0.03,,
PIBFR5YS2028-04-06,99.02,0.02,,
PIBFR5YS2028-08-10,98.85,0.02,,
PIBFR5YS2028-09-21,98.84,0.04,,
PIBFR5YS2028-10-19,98.81,0.01,,
PIBFR5YS2028-12-14,98.76,0.00,,
PIBFR5YS2029-02-07,98.63,-0.03,,
PIBFR5YS2029-04-18,98.62,-0.04,,
PIBFR5YS2029-06-27,98.61,0.00,,
PIBFR5YS2029-09-05,98.58,0.01,,
PIBFR5YS2029-10-03,98.57,0.01,,
PIBFR5YS2029-11-14,98.54,-0.04,,
PIBFR5YS2029-12-12,98.55,0.00,,
PIBFR5YS2030-01-09,98.52,-0.01,,
PIBFR5YS2030-04-17,98.47,0.00,,
