Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,97.68,0.05,,
PIBFR10YQ2033-12-14,96.00,-0.01,,
PIBFR10YS2028-05-31,99.70,-0.01,,
PIBFR10YS2028-06-28,99.73,0.01,,
PIBFR10YS2028-08-09,99.96,0.04,,
PIBFR10YS2029-02-21,99.84,0.05,,
PIBFR10YS2029-03-21,99.70,0.06,,
PIBFR10YS2029-04-18,99.66,0.05,,
PIBFR10YS2029-05-30,99.55,0.05,,
PIBFR10YS2029-06-27,99.60,0.08,,
PIBFR10YS2029-07-25,99.79,0.08,,
PIBFR10YS2029-08-22,100.08,0.04,,
PIBFR10YS2030-06-18,100.74,-0.02,,
PIBFR10YS2031-11-04,97.32,0.00,,
PIBFR10YS2034-02-07,95.82,0.04,,
PIBFR10YS2034-04-18,95.94,-0.02,,
PIBFR10YS2034-09-05,95.78,0.05,,
PIBFR10YS2034-10-03,95.74,0.05,,
PIBFR10YS2034-11-14,95.67,0.00,,
PIBFR10YS2034-12-12,95.56,0.04,,
PIBFR10YS2035-01-09,95.46,0.03,,
PIBFR10YS2035-04-17,95.56,-0.02,,
PIBFR10YS2035-05-29,95.36,-0.02,,
PIBFR10YS2035-07-10,95.23,0.01,,
PIBFR2YQ2025-09-21,99.95,0.00,,
PIBFR2YS2026-10-03,99.82,0.01,,
PIBFR2YS2027-01-09,99.85,0.02,,
PIBFR3YQ2025-09-08,99.97,0.00,,
PIBFR3YQ2026-02-09,99.86,0.00,,
PIBFR3YQ2026-09-21,99.69,0.01,,
PIBFR3YQ2026-10-19,99.65,0.00,,
PIBFR3YQ2027-02-07,99.50,0.00,,
PIBFR5YQ2025-10-22,99.95,0.00,,
PIBFR5YS2026-05-06,100.19,0.00,,
PIBFR5YS2027-11-17,99.31,-0.04,,
PIBFR5YS2028-04-06,99.11,0.00,,
PIBFR5YS2028-08-10,98.77,-0.02,,
PIBFR5YS2028-09-21,98.76,-0.01,,
PIBFR5YS2028-10-19,98.90,0.00,,
PIBFR5YS2028-12-14,98.71,-0.01,,
PIBFR5YS2029-02-07,98.43,-0.14,,
PIBFR5YS2029-04-18,98.63,0.00,,
PIBFR5YS2029-06-27,98.65,0.00,,
PIBFR5YS2029-09-05,98.55,0.03,,
PIBFR5YS2029-10-03,98.56,0.00,,
PIBFR5YS2029-11-14,98.52,0.00,,
PIBFR5YS2029-12-12,98.36,-0.01,,
PIBFR5YS2030-01-09,98.29,0.00,,
PIBFR5YS2030-04-17,98.23,0.00,,
