Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.98,0.08,,
PIBFR10YQ2033-12-14,95.13,0.08,,
PIBFR10YS2028-05-31,99.22,0.05,,
PIBFR10YS2028-06-28,99.18,0.00,,
PIBFR10YS2028-08-09,99.05,-0.01,,
PIBFR10YS2029-02-21,98.90,0.01,,
PIBFR10YS2029-03-21,98.75,0.00,,
PIBFR10YS2029-04-18,98.58,0.00,,
PIBFR10YS2029-05-30,98.37,0.05,,
PIBFR10YS2029-06-27,98.39,-0.02,,
PIBFR10YS2029-07-25,98.45,0.00,,
PIBFR10YS2029-08-22,99.11,0.06,,
PIBFR10YS2030-06-18,100.12,0.11,,
PIBFR10YS2031-11-04,96.78,0.11,,
PIBFR10YS2034-02-07,94.95,0.09,,
PIBFR10YS2034-04-18,95.22,0.03,,
PIBFR10YS2034-09-05,94.84,0.08,,
PIBFR10YS2034-10-03,94.93,0.07,,
PIBFR10YS2034-11-14,95.02,0.06,,
PIBFR10YS2034-12-12,94.97,0.09,,
PIBFR10YS2035-01-09,94.87,0.12,,
PIBFR10YS2035-04-17,95.06,0.00,,
PIBFR2YQ2025-09-21,99.91,0.04,,
PIBFR2YS2026-10-03,99.75,0.00,,
PIBFR2YS2027-01-09,99.90,0.02,,
PIBFR3YQ2025-09-08,99.95,0.06,,
PIBFR3YQ2026-02-09,99.70,0.00,,
PIBFR3YQ2026-09-21,99.29,0.00,,
PIBFR3YQ2026-10-19,99.36,0.00,,
PIBFR3YQ2027-02-07,99.01,0.00,,
PIBFR5YQ2025-10-22,99.74,0.00,,
PIBFR5YS2025-06-18,100.04,-0.03,,
PIBFR5YS2026-05-06,100.13,0.00,,
PIBFR5YS2027-11-17,98.79,0.19,,
PIBFR5YS2028-04-06,98.95,0.16,,
PIBFR5YS2028-08-10,98.20,0.19,,
PIBFR5YS2028-09-21,98.33,0.11,,
PIBFR5YS2028-10-19,98.62,0.21,,
PIBFR5YS2028-12-14,98.07,0.11,,
PIBFR5YS2029-02-07,98.01,0.08,,
PIBFR5YS2029-04-18,98.37,0.07,,
PIBFR5YS2029-06-27,97.92,0.13,,
PIBFR5YS2029-09-05,97.80,0.07,,
PIBFR5YS2029-10-03,97.79,0.04,,
PIBFR5YS2029-11-14,98.06,0.17,,
PIBFR5YS2029-12-12,97.69,0.02,,
PIBFR5YS2030-01-09,97.72,0.12,,
PIBFR5YS2030-04-17,97.89,0.02,,
