,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0.00,98.01,98.02,97.75,98.05,97.75,98.00,98.05,,97.97
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0.00,97.97,98.01,97.70,97.97,97.75,98.00,97.95,,97.93
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0.00,98.46,98.44,98.00,98.47,98.05,98.49,98.47,,98.38
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0.00,98.40,98.47,98.20,98.38,98.10,98.36,98.38,,98.34
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0.00,98.44,98.37,98.25,98.43,98.35,98.46,98.43,,98.40
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0.00,98.44,98.41,98.15,98.44,98.10,98.39,98.44,,98.37
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0.00,98.44,98.30,98.20,98.44,98.10,98.36,98.44,,98.35
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0.00,98.53,98.46,98.35,98.52,98.15,98.55,98.52,,98.48
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0.00,98.50,98.55,98.20,98.49,98.15,98.45,98.49,,98.43
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0.00,98.47,98.48,98.10,98.47,98.15,98.43,98.47,,98.40
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,0.00,99.85,99.37,99.30,99.32,99.35,99.32,99.32,,99.34
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,0.00,98.60,98.23,98.20,98.54,98.57,98.39,98.54,,98.45
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,0.00,98.43,98.46,98.30,98.43,98.35,98.39,98.43,,98.41
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,0.00,94.60,94.68,94.50,94.60,95.00,94.61,94.60,,94.62
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,0.00,98.26,98.38,98.35,98.48,98.35,98.35,98.48,,98.38
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,0.00,99.43,99.41,99.35,99.41,99.38,99.44,99.41,,99.41
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,0.00,98.77,99.00,98.95,99.02,98.97,99.03,99.02,,98.99
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,0.00,98.23,98.68,98.60,98.67,98.79,98.62,98.67,,98.65
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,0.00,99.19,99.35,99.20,99.29,99.24,99.20,99.29,,99.24
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,0.00,95.27,95.44,95.40,95.54,95.54,95.53,95.54,,95.49
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,0.00,96.68,97.16,97.10,97.39,96.91,97.16,97.39,,97.14
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,0.00,98.78,98.99,98.85,99.00,98.87,98.95,99.00,,98.93
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,0.00,98.01,98.38,98.25,98.43,98.27,98.33,98.43,,98.33
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,0.00,98.58,98.88,98.50,98.96,98.47,98.78,98.93,,98.73
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,0.00,96.70,96.87,96.82,96.70,96.70,96.65,96.69,,96.72
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,0.00,96.37,96.59,96.60,96.64,96.11,96.54,96.62,,96.54
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,0.00,98.32,98.64,98.55,98.66,98.66,98.64,98.64,,98.63
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,0.00,97.88,98.03,97.95,98.19,98.15,98.09,98.19,,98.08
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,0.00,96.63,96.63,96.75,96.63,96.63,96.63,96.62,,96.63
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,0.00,97.67,97.83,97.75,97.78,97.69,97.79,97.78,,97.76
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,0.00,96.71,96.72,96.90,96.83,96.85,96.85,96.83,,96.82
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,0.00,97.72,96.73,96.90,96.90,96.87,96.87,96.88,,96.88
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,0.00,95.01,95.01,94.90,94.99,95.10,95.01,94.95,,94.99
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,0.00,96.13,95.94,99.98,96.14,95.99,96.14,96.14,,96.11
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,0.00,94.18,94.18,99.65,94.37,94.18,94.37,94.35,,94.29
