GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 16:25:00 Dated 2022-11-10,,,,,,,,,
,,,,,,,,,
User,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPIS-20-30-04-2025,97.00,96.90,97.00,96.90,96.80,96.80,96.85,96.85,96.88
GOPIS-21-29-05-2025,100.15,100.20,100.10,100.10,100.10,100.10,100.10,100.00,100.11
GOPIS-22-24-06-2025,99.75,99.75,99.70,99.75,99.80,99.75,99.70,99.70,99.73
GOPIS-VRR-29-07-2025,100.30,100.25,100.00,100.25,100.30,100.30,100.25,100.25,100.27
GOPIS-FRR-29-07-2025,89.00,89.00,88.50,88.50,89.00,88.00,89.00,89.00,88.83
GOPIS-VRR-09-12-2025,99.80,99.80,99.85,99.75,99.75,99.70,99.75,99.75,99.77
GOPIS-FRR-20-01-2026,93.70,93.70,93.70,91.00,93.65,9.66,93.70,93.70,93.24
GOPIS-VRR-06-10-2026,99.80,99.75,99.80,99.75,99.70,99.70,99.75,99.75,99.75
GOPIS-FRR-06-10-2026,93.00,93.00,94.00,90.15,91.00,92.00,93.00,92.00,92.33
GOPIS-VRR-29-10-2026,99.90,99.90,99.80,99.90,99.85,100.00,99.90,99.90,99.89
GOPIS-FRR-15-12-2026,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00
GOPIS-FRR-27-04-2027,98.70,98.70,98.70,98.70,98.70,99.10,98.70,98.70,98.70
GOPIS-VRR-27-04-2027,100.10,100.10,100.10,100.10,100.00,100.15,100.10,100.10,100.10
GOPIS-VRR-26-10-2027,100.20,100.25,100.20,100.20,100.20,100.30,100.15,100.15,100.20
