10:01 27JAN22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.50,96.37,96.45,96.00,96.50,96.50,96.00,96.25,96.35,
GOPIS 29-05-2025 ,100.20,100.20,100.20,100.25,100.20,100.20,100.00,100.20,100.20,
GOPIS 24-06-2025 ,100.20,100.10,100.10,99.90,100.00,100.10,100.10,100.10,100.08,
GOPISV-29-07-2025,100.00,100.00,100.00,100.10,100.10,99.80,100.10,99.95,100.03,
GOPISF-29-07-2025,96.00,96.00,96.00,95.75,95.75,96.00,96.00,96.00,95.96,
GOPISV-09-12-2025,100.20,100.20,100.25,100.40,100.50,100.25,100.45,100.45,100.33,
GOPISF-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,97.00,97.00,
GOPISV-06-10-2026,99.15,99.15,99.15,99.15,99.10,99.40,99.40,99.15,99.19,
GOPISF-06-10-2026,97.80,97.80,97.85,99.75,98.00,98.00,98.00,98.00,97.94,
GOPISV-29-10-2026,99.40,99.40,99.40,99.30,99.50,99.52,99.50,99.50,99.45,
GOPISF-15-12-2026,101.50,101.50,101.50,101.75,102.00,101.50,102.25,102.00,101.71,
