,,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg
GOPISV-20-02-2024,,99,0,98.7,98.7,98.7,98.7,98.7,98.7,99,0,98.7
GOPISF-20-02-2024,,98,0,98,98,98,98,98,98,98,0,98
GOPISV-08-03-2024,,100.1,0,100.05,100.1,100.1,100.1,100.1,100.1,100.1,0,100.0917
GOPISF-08-03-2024,,100.25,0,100.2,100.25,100.25,100.25,100.2,100.25,100.25,0,100.2333
GOPISV-17-04-2024,,100.05,0,100.05,100.05,100.05,100,100.05,100.05,100.05,0,100.0417
GOPISF-17-04-2024,,100.1,0,100.1,100.1,100.1,100.1,100.1,100.1,100.1,0,100.1
GOPISV-22-05-2024,,100,0,100.05,100.05,100.05,100,100.05,100.05,100.05,0,100.0333
GOPISF-22-05-2024,,100,0,100,100,100,100,100,100,100,0,100
GOPISV-26-06-2024,,100.05,0,100,99.95,100,100,100,100,100.05,0,99.9917
GOPISF-26-06-2024,,100,0,99.9,99.9,99.9,100,99.95,100,100,0,99.9417
GOPISV-12-07-2024,,100.1,0,100.05,100.1,100.1,100,100.1,100.1,100.1,0,100.075
GOPISF-12-07-2024,,100,0,100,100,100,100,100,100,100,0,100
GOPIS 30-04-2025,,96.3,0,96.4,96.45,96.45,96.5,96.4,96.45,96.5,0,96.4083
GOPIS 29-05-2025,,99.4,0,99.4,99.4,99.4,99.4,99.4,99.4,99.4,0,99.4
GOPIS 24-06-2025,,99.2,0,99.1,99.15,99.1,99,99.1,99.1,99.2,0,99.0917
GOPISV-29-07-2025,,99.6,0,99.4,99.4,99.45,99.4,99.6,99.6,99.6,0,99.475
GOPISF-29-07-2025,,85.5,0,85.7,85.75,85.7,85.75,85.7,85.75,85.75,0,85.6833
GOPISV-09-12-2025,,99.7,0,99.7,99.75,99.7,99.75,99.7,99.7,99.75,0,99.7083
GOPISV-05-01-2026,,99,0,99,99,99,99,99,99,99,0,99
GOPISF-20-01-2026,,86.5,0,88,88,88,88,88,88,88,0,87.75
GOPISF-17-04-2026,,100,0,100,100,100,100,100,100,100,0,100
GOPISF-26-06-2026,,99.95,0,99.8,99.9,99.9,100,99.9,99.95,100,0,99.9
GOPISV-12-07-2026,,100,0,100,100,100,100,100,100,100,0,100
GOPISV-06-10-2026,,99.35,0,99.45,99.5,99.45,99.5,99.45,99.45,99.5,0,99.4417
GOPISF-06-10-2026,,86.5,0,89,89,89,89,89,89,89,0,88.5833
GOPISV-29-10-2026,,99.2,0,99.25,99.25,99.2,99.15,99.25,99.25,99.25,0,99.2167
GOPISF-15-12-2026,,89.75,0,90,90.25,90,90.25,90,90.25,90.25,0,90.0417
GOPISF-27-04-2027,,92.1,0,92.4,92.4,92.35,92.35,92.35,92.4,92.4,0,92.325
GOPISV-27-04-2027,,99.4,0,99.35,99.4,99.35,99.45,99.4,99.4,99.45,0,99.3833
GOPISV-26-10-2027,,99.9,0,99.75,99.8,99.75,99.45,99.75,99.8,99.9,0,99.7167
GOPISF-16-11-2027,,97.4,0,97,97,97,97,97,97,97.4,0,97
GOPISV-26-06-2028,,100,0,99.95,99.95,99.9,100,100,100.05,100.05,0,99.9667
