PKISRV/GOPIS 27-06-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,max,min,Avg Rate
GOPISV-20-02-2024,99,98.7,98.60,98.75,98.70,98.7,98.75,98.75,99,98.6,98.7250
GOPISF-20-02-2024,98,98.25,98.00,98.75,98.00,98,98,98,98.75,98,98.0417
GOPISV-08-03-2024,100.15,100.1,100.05,100.1,100.10,100.15,100.1,100.1,100.15,100.05,100.1083
GOPISF-08-03-2024,100.3,100.25,100.10,100.3,100.25,100.3,100.25,100.3,100.3,100.1,100.2750
GOPISV-17-04-2024,100.1,100.04,100.05,100.05,100.05,100,100.05,100.1,100.1,100,100.0567
GOPISF-17-04-2024,100.15,100.1,100.00,100.1,100.10,100.15,100.1,100.1,100.15,100,100.1083
GOPISV-22-05-2024,100.11,100.05,100.05,100.05,100.05,100.1,100.05,100.1,100.11,100.05,100.0667
GOPISF-22-05-2024,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPIS 30-04-2025,96.3,96.35,96.40,96.5,96.40,96.5,96.4,96.45,96.5,96.3,96.4167
GOPIS 29-05-2025,99.4,99.4,99.25,99.4,99.25,99.5,99.3,99.4,99.5,99.25,99.3583
GOPIS 24-06-2025,99.3,99,99.00,99.2,99.10,99,99.1,99.1,99.3,99,99.0833
GOPISV-29-07-2025,99.5,99.4,99.35,99.4,99.40,99.4,99.4,99.4,99.5,99.35,99.4000
GOPISF-29-07-2025,85,85.7,85.50,86,85.50,86,85.5,86,86,85,85.7000
GOPISV-09-12-2025,99.7,99.7,99.70,99.75,99.70,99.8,99.7,99.7,99.8,99.7,99.7083
GOPISV-05-01-2026,99,99,99.00,99,99.00,99,99,99,99,99,99.0000
GOPISF-20-01-2026,86.5,88,88.00,88,88.00,88,88,88,88,86.5,88.0000
GOPISF-17-04-2026,100,100,100.00,100,100.00,100,100,100,100,100,100.0000
GOPISV-06-10-2026,99.35,99.25,99.45,99.5,99.45,99.5,99.45,99.45,99.5,99.25,99.4417
GOPISF-06-10-2026,88,89,89.00,89,89.00,89,89,89,89,88,89.0000
GOPISV-29-10-2026,99.2,99.25,99.30,99.25,99.30,99.25,99.25,99.25,99.3,99.2,99.2583
GOPISF-15-12-2026,89.5,90,90.00,90.25,90.00,90.25,90,90.25,90.25,89.5,90.0833
GOPISF-27-04-2027,92,92.25,92.40,92.4,92.40,92.5,92.35,92.4,92.5,92,92.3667
GOPISV-27-04-2027,99.5,99.25,99.35,99.4,99.35,99.5,99.35,99.4,99.5,99.25,99.3917
GOPISV-26-10-2027,99.95,99.75,99.50,99.8,99.5,99.8,99.75,99.8,99.95,99.5,99.7333
GOPISF-16-11-2027,95,96.75,99.70,97,99.70,97,96.75,97,99.7,95,97.3667
