10:10,10-Oct-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,,
,,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,<PKNOTES>,Contd..<PKISRV1>,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg,Rate
===============================================================================,,,,,,,,,,
GOPISV-20-02-2024,100.15,100.2,100.1,100.2,100,99.9,99.9,98.7,100.04,
GOPISF-20-02-2024,98,98,98,98,98,98,98.1,98,98,
GOPISV-08-03-2024,101.6,101.75,101.65,101.65,101.65,101.5,101.5,101.6,101.61,
GOPISF-08-03-2024,100.25,100.25,100.2,100.25,100.2,100.25,100.1,100.25,100.23,
GOPISV-17-04-2024,101.3,101.2,101.2,101.25,101.15,101.25,101.2,101.2,101.22,
GOPISF-17-04-2024,100.1,100.1,100.1,100.1,100.1,100.1,100,100.1,100.1,
GOPISV-22-05-2024,100.5,100.6,100.45,100.5,100.7,100.6,100.4,100.5,100.53,
GOPISF-22-05-2024,100,100,100,100,100,100,100,100,100,
GOPISV-26-06-2024,100.3,100.2,100,100.3,100.2,100,100.2,100.3,100.2,
GOPISF-26-06-2024,100.2,100.4,100.4,100.1,100.2,100.3,100.2,100.2,100.25,
GOPISV-12-07-2024,100.4,100.5,100.3,100.4,100.3,100.3,100.3,100.3,100.33,
GOPISF-12-07-2024,100,100,100,100,100,100,100,100,100,
GOPISV-07-08-2024,100.7,101,100.7,100.7,100.75,101,100.8,100.7,100.78,
GOPISF-07-08-2024,100,100,100,100,100,100,100,100,100,
GOPISV-20-09-2024,99.99,100,99.9,100,100,99.9,99.99,100,99.98,
GOPISF-20-09-2024,100,100,100,100,100,100,100,100,100,
GOPISV-30-04-2025,96.5,96.5,96.45,96.45,96.45,96.5,97.75,96.45,96.48,
GOPISV-29-05-2025,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,
GOPISV-24-06-2025,99.2,99.15,99.1,99.15,99.1,99,99.15,99.1,99.13,
GOPISV-29-07-2025,99.5,99.45,99.45,99.45,99.45,99.4,99.45,99.45,99.45,
GOPISF-29-07-2025,85.6,85.7,85.7,85.75,85.7,85.75,80.7,85.75,85.7,
GOPISV-09-12-2025,99.7,99.7,99.7,99.7,99.7,99.75,99.6,99.7,99.7,
GOPISV-05-01-2026,99,99,99,99,99,99,98,99,99,
GOPISF-20-01-2026,87.75,88,88,88,88,88,82.25,88,87.96,
GOPISF-17-04-2026,100,100,100,100,100,100,100,100,100,
GOPISF-26-06-2026,98.85,98.85,98.9,98.95,98.9,99.85,98.7,99.9,99.05,
GOPISV-12-07-2026,100,100,100,101,100,100,100,100,100,
GOPISV-06-10-2026,99.4,99.35,99.45,99.4,99.4,99.5,98.9,99.45,99.41,
GOPISF-06-10-2026,88.75,89,89,89,89,89,79,89,88.96,
GOPISV-29-10-2026,99.2,99.25,99.25,99.25,99.2,99.15,99,99.25,99.22,
GOPISF-15-12-2026,90,90,90,90.1,90.1,90.25,87.5,90.25,90.08,
GOPISF-27-04-2027,92.35,92.35,92.35,92.35,92.35,92.35,89,92.35,92.35,
GOPISV-27-04-2027,99.5,99.35,99.35,99.35,99.35,99.45,99.3,99.4,99.38,
GOPISV-26-10-2027,99.9,99.75,99.75,99.75,99.75,99.35,99.6,99.7,99.72,
GOPISF-16-11-2027,97.3,97,97,97,97,97,88,97,97,
GOPISV-26-06-2028,100,99.9,100,99.9,100,100,100,99.9,99.97,
GOPISF-20-09-2028,100,100,100,100.2,100,100,100,100,100,
