10:06 07JUN22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,97.00,97.00,97.00,96.50,97.00,97.00,96.90,96.98,
GOPIS 29-05-2025 ,100.50,100.20,100.10,100.50,100.00,100.10,100.25,100.10,100.22,
GOPIS 24-06-2025 ,99.70,99.70,99.70,99.50,99.75,99.70,99.75,99.70,99.71,
GOPISV-29-07-2025,99.50,99.35,99.40,99.50,99.50,99.50,99.25,99.25,99.42,
GOPISF-29-07-2025,93.50,93.50,93.00,94.00,90.00,93.75,93.00,93.50,93.38,
GOPISV-09-12-2025,100.00,100.00,100.15,100.20,100.50,99.50,99.75,99.50,99.93,
GOPISF-20-01-2026,93.90,93.90,93.80,94.00,92.00,93.80,93.80,93.75,93.83,
GOPISV-06-10-2026,99.60,99.60,99.50,100.00,94.00,99.70,99.20,99.50,99.52,
GOPISF-06-10-2026,94.10,94.10,94.00,94.25,90.00,94.25,94.00,94.00,94.08,
GOPISV-29-10-2026,100.20,100.15,100.15,100.50,100.10,100.05,100.28,100.10,100.16,
GOPISF-15-12-2026,96.00,95.85,95.90,99.50,95.00,96.25,96.25,96.00,96.04,
GOPISF-27-04-2027,100.00,100.00,99.95,99.90,99.00,100.00,99.97,99.95,99.96,
GOPISV-27-04-2027,99.90,99.90,99.90,99.90,99.75,99.90,100.00,99.90,99.90,
