GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 14:25:00 Dated 2023-04-05,,,,,,,,,
,,,,,,,,,
User,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPIS-20-30-04-2025,96.50,96.50,96.50,0.00,96.50,96.50,96.50,96.50,96.50
GOPIS-21-29-05-2025,99.30,99.30,99.30,0.00,98.50,99.45,99.30,99.00,99.24
GOPIS-22-24-06-2025,98.30,99.25,99.40,0.00,98.50,99.40,99.40,99.00,99.11
GOPIS-VRR-29-07-2025,99.50,99.40,99.50,0.00,99.25,99.60,99.50,99.35,99.45
GOPIS-FRR-29-07-2025,85.00,86.00,86.00,0.00,86.00,86.50,86.00,86.00,86.00
GOPIS-VRR-09-12-2025,99.70,99.75,99.80,0.00,99.50,99.90,99.75,89.75,99.70
GOPIS-FRR-20-01-2026,86.50,87.00,88.00,0.00,94.00,90.00,89.50,89.50,88.80
GOPIS-VRR-06-10-2026,99.35,99.60,99.50,0.00,99.60,99.50,99.20,99.60,99.51
GOPIS-FRR-06-10-2026,88.00,89.00,89.00,0.00,93.00,90.00,89.00,89.00,89.20
GOPIS-VRR-29-10-2026,99.35,99.50,99.25,0.00,98.50,99.30,99.25,98.75,99.18
GOPIS-FRR-15-12-2026,89.50,91.00,91.00,0.00,90.00,92.00,90.50,90.50,90.60
GOPIS-FRR-27-04-2027,92.00,93.50,90.00,0.00,94.00,93.50,93.50,93.50,93.20
GOPIS-VRR-27-04-2027,99.35,99.50,98.50,0.00,99.25,99.30,99.25,99.25,99.28
GOPIS-VRR-26-10-2027,99.35,99.50,99.10,0.00,99.00,99.10,99.00,99.25,99.16
GOPIS-FRR-16-11-2027,95.00,97.00,97.25,0.00,97.00,97.00,97.00,96.50,96.90
GOPIS-VRR-05-01-2026,99.50,98.00,98.00,0.00,96.00,98.00,97.00,97.00,97.60
GOPIS-VRR-20-02-2024,99.00,98.75,98.25,0.00,97.50,99.00,99.75,99.75,98.95
GOPIS-FRR-20-02-2024,98.00,98.00,98.00,0.00,97.00,98.00,98.00,98.00,98.00
GOPIS-VRR-08-03-2024,100.15,100.10,100.25,0.00,100.00,100.20,100.20,100.30,100.18
GOPIS-FRR-08-03-2024,100.30,100.30,100.30,0.00,99.50,100.30,100.30,100.20,100.28
