10:05 09MAY23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, ALF, BCA,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,99.00,98.70,98.75,98.75,98.70,98.50,98.70,98.75,98.73,
GOPISF-20-02-2024,98.00,97.90,98.00,98.00,98.00,98.00,98.00,98.00,98.00,
GOPISV-08-03-2024,100.10,100.00,100.20,100.10,100.10,100.25,100.10,100.20,100.15,
GOPISF-08-03-2024,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,
GOPISV-17-04-2024,100.30,100.25,100.30,100.20,100.10,100.20,100.10,100.25,100.23,
GOPISF-17-04-2024,100.20,100.25,100.20,100.25,100.20,100.25,100.20,100.20,100.23,
GOPIS 30-04-2025 ,96.30,96.00,96.50,96.50,96.50,96.50,96.50,96.50,96.47,
GOPIS 29-05-2025 ,99.30,99.25,99.30,99.30,99.25,99.30,99.30,99.30,99.29,
GOPIS 24-06-2025 ,98.50,98.95,99.00,99.20,98.75,99.40,98.50,98.50,98.82,
GOPISV-29-07-2025,99.50,99.40,99.40,99.35,99.45,99.40,99.45,99.50,99.43,
GOPISF-29-07-2025,85.00,85.50,85.90,86.00,85.50,86.00,85.00,86.00,85.65,
GOPISV-09-12-2025,99.70,99.75,99.80,99.75,99.75,99.80,99.75,99.75,99.76,
GOPISV-05-01-2026,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,
GOPISF-20-01-2026,86.50,87.75,88.30,88.00,88.00,88.00,88.00,89.50,88.01,
GOPISF-17-04-2026,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
GOPISV-06-10-2026,99.35,99.25,99.50,99.50,99.50,99.50,99.50,99.50,99.48,
GOPISF-06-10-2026,88.00,89.00,89.50,89.00,89.00,89.00,89.00,90.00,89.08,
GOPISV-29-10-2026,99.35,99.25,99.30,99.30,99.30,99.25,99.30,99.35,99.30,
GOPISF-15-12-2026,89.50,90.00,90.30,90.50,90.00,91.00,89.50,90.50,90.13,
GOPISF-27-04-2027,92.00,92.75,93.50,93.00,93.00,92.50,92.00,93.50,92.79,
GOPISV-27-04-2027,99.35,99.40,99.50,99.40,99.50,100.00,99.40,99.50,99.45,
GOPISV-26-10-2027,99.85,99.80,99.90,100.00,99.50,99.60,99.40,99.85,99.75,
GOPISF-16-11-2027,95.00,96.50,96.80,97.00,96.50,97.00,97.00,97.00,96.80,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,
                 ,      ,      ,       ,       ,      ,       ,       ,      ,       ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
