10:03 15MAR22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.20,96.20,96.20,96.00,96.35,96.25,96.15,96.30,96.22,
GOPIS 29-05-2025 ,100.20,100.20,100.20,100.20,100.20,100.20,100.00,100.20,100.20,
GOPIS 24-06-2025 ,100.00,100.05,100.05,100.00,100.00,100.10,100.00,100.05,100.03,
GOPISV-29-07-2025,100.20,99.90,100.00,100.25,100.20,99.80,99.80,100.00,100.02,
GOPISF-29-07-2025,95.75,95.75,95.75,95.75,95.75,95.75,95.50,95.75,95.75,
GOPISV-09-12-2025,100.30,100.20,100.35,100.20,100.30,100.50,100.10,100.35,100.28,
GOPISF-20-01-2026,97.00,97.00,97.00,96.75,97.00,97.00,97.00,97.00,97.00,
GOPISV-06-10-2026,99.40,99.70,99.40,99.15,99.35,99.60,99.60,99.40,99.46,
GOPISF-06-10-2026,98.00,98.00,98.00,99.75,98.25,98.00,98.00,98.00,98.04,
GOPISV-29-10-2026,99.30,99.75,99.80,99.30,99.30,99.30,99.75,99.30,99.45,
GOPISF-15-12-2026,100.70,100.90,101.50,101.00,100.50,101.25,101.00,101.50,101.06,
