10:10 21OCT22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,96.90,0.00,96.90,96.80,96.90,96.85,96.85,96.88,
GOPIS 29-05-2025 ,100.10,100.10,0.00,99.75,100.10,100.10,100.00,100.10,100.08,
GOPIS 24-06-2025 ,99.75,99.75,0.00,99.75,99.80,99.75,99.70,99.70,99.74,
GOPISV-29-07-2025,100.30,100.30,0.00,100.20,100.30,100.28,101.25,101.20,100.48,
GOPISF-29-07-2025,89.00,89.00,0.00,88.50,89.00,88.00,89.00,89.00,88.90,
GOPISV-09-12-2025,99.70,99.75,0.00,99.75,99.75,100.00,99.75,99.75,99.75,
GOPISF-20-01-2026,93.70,93.70,0.00,90.75,93.65,93.70,93.80,93.70,93.69,
GOPISV-06-10-2026,99.80,99.75,0.00,99.75,99.70,99.75,99.75,99.75,99.75,
GOPISF-06-10-2026,93.30,93.00,0.00,90.15,91.00,92.90,94.00,92.00,92.44,
GOPISV-29-10-2026,99.90,99.90,0.00,99.90,99.85,99.90,99.90,99.90,99.90,
GOPISF-15-12-2026,96.00,96.00,0.00,96.00,96.00,96.00,96.00,96.00,96.00,
GOPISF-27-04-2027,98.75,98.70,0.00,98.70,98.70,98.70,98.70,98.70,98.70,
GOPISV-27-04-2027,99.80,99.90,0.00,99.80,99.75,99.60,99.70,99.80,99.77,
