10:11 08NOV22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, BMA, CEL,  CMKA,  ICON,IONE,  MCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,96.90,97.00,0.00,96.80,96.80,96.85,96.85,96.88,
GOPIS 29-05-2025 ,100.15,100.20,100.10,0.00,100.10,100.20,100.10,100.00,100.14,
GOPIS 24-06-2025 ,99.75,99.75,99.70,0.00,99.80,99.75,99.70,99.70,99.73,
GOPISV-29-07-2025,100.30,100.20,100.00,0.00,100.30,100.30,100.25,100.25,100.26,
GOPISF-29-07-2025,89.00,89.00,88.50,0.00,89.00,88.00,89.00,89.00,88.90,
GOPISV-09-12-2025,99.80,99.80,99.85,0.00,99.75,99.70,99.75,99.75,99.77,
GOPISF-20-01-2026,93.70,93.70,93.70,0.00,93.65,93.65,93.70,93.70,93.69,
GOPISV-06-10-2026,99.80,99.75,99.80,0.00,99.70,99.70,99.75,99.75,99.75,
GOPISF-06-10-2026,93.00,93.00,94.00,0.00,91.00,92.00,93.00,92.00,92.60,
GOPISV-29-10-2026,99.90,99.90,99.80,0.00,99.85,100.00,99.90,99.90,99.89,
GOPISF-15-12-2026,96.00,96.00,96.00,0.00,96.00,96.00,96.00,96.00,96.00,
GOPISF-27-04-2027,98.70,98.70,98.70,0.00,98.70,99.10,98.70,98.70,98.70,
GOPISV-27-04-2027,100.10,100.10,100.10,0.00,100.00,100.15,100.10,100.10,100.10,
GOPISV-26-10-2027,100.20,100.25,100.20,0.00,100.20,100.30,100.15,100.15,100.20,
